raw_name,std_name,entity_type,parent_name,query_name,notes,pubchem_cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,source,source_version,review_status
Water,Water,control,,,溶剂对照,,,,,,,,not_a_compound
DMSO,Dimethyl sulfoxide,control,,Dimethyl sulfoxide,溶剂对照,,,,,,,,not_a_compound
Quality Control,Quality Control,qc,,,pert_id=48，非化合物，不计入化学扰动预测,,,,,,,,not_a_compound
Amiodarone hydrochloride,Amiodarone,compound,Amiodarone,Amiodarone,盐酸盐，去盐,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,C25H29I2NO3,645.3,PubChem PUG REST,2026-08-13,auto_fetched
Clomiphene citrate,Clomiphene,compound,Clomiphene,Clomiphene,枸橼酸盐，去盐,2800,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,C26H28ClNO,406.0,PubChem PUG REST,2026-08-13,auto_fetched
Desipramine hydrochloride,Desipramine,compound,Desipramine,Desipramine,盐酸盐，去盐,2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,C18H22N2,266.4,PubChem PUG REST,2026-08-13,auto_fetched
Doxycycline hyclate,Doxycycline,compound,Doxycycline,Doxycycline,盐酸半乙醇半水合物(hyclate)，去盐,54671203,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,C22H24N2O8,444.4,PubChem PUG REST,2026-08-13,auto_fetched
Dyclonine hydrochloride,Dyclonine,compound,Dyclonine,Dyclonine,盐酸盐，去盐,3180,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2,C18H27NO2,289.4,PubChem PUG REST,2026-08-13,auto_fetched
Harmine hydrochloride,Harmine,compound,Harmine,Harmine,盐酸盐，去盐,5280953,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC,C13H12N2O,212.25,PubChem PUG REST,2026-08-13,auto_fetched
LY 294002 hydrochloride,LY294002,compound,LY294002,LY294002,盐酸盐，去盐,3973,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,C19H17NO3,307.3,PubChem PUG REST,2026-08-13,auto_fetched
Nystatin dihydrate,Nystatin,compound,Nystatin,Nystatin,二水合物，去水,6433272,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,C47H75NO17,926.1,PubChem PUG REST,2026-08-13,auto_fetched
Pentamidine isethionate,Pentamidine,compound,Pentamidine,Pentamidine,羟乙基磺酸盐，去盐,4735,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,C19H24N4O2,340.4,PubChem PUG REST,2026-08-13,auto_fetched
Raloxifene hydrochloride,Raloxifene,compound,Raloxifene,Raloxifene,盐酸盐，去盐,5035,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,C28H27NO4S,473.6,PubChem PUG REST,2026-08-13,auto_fetched
Trifluoperazine dihydrochloride,Trifluoperazine,compound,Trifluoperazine,Trifluoperazine,二盐酸盐，去盐,5566,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,C21H24F3N3S,407.5,PubChem PUG REST,2026-08-13,auto_fetched
1-10 Phenanthroline monohydrate,"1,10-Phenanthroline",compound,"1,10-Phenanthroline","1,10-Phenanthroline",一水合物，去水,1318,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,C12H8N2,180.20,PubChem PUG REST,2026-08-13,auto_fetched
CHX,Cycloheximide,compound,,Cycloheximide,缩写展开,6197,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,C15H23NO4,281.35,PubChem PUG REST,2026-08-13,auto_fetched
FCCP,Carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone,compound,,Carbonyl cyanide 4-(trifluoromethoxy)phenylhydrazone,缩写展开,3330,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,C10H5F3N4O,254.17,PubChem PUG REST,2026-08-13,auto_fetched
SDS,Sodium dodecyl sulfate,compound,,Sodium dodecyl sulfate,缩写展开，去垢剂,3423265,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],C12H25NaO4S,288.38,PubChem PUG REST,2026-08-13,auto_fetched
MMS,Methyl methanesulfonate,compound,,Methyl methanesulfonate,缩写展开,4156,COS(=O)(=O)C,COS(=O)(=O)C,C2H6O3S,110.13,PubChem PUG REST,2026-08-13,auto_fetched
G418,Geneticin,compound,,Geneticin,缩写展开，氨基糖苷,123865,CC(C1C(C(C(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)O)O)O,C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O,C20H40N4O10,496.6,PubChem PUG REST,2026-08-13,auto_fetched
NaCl,Sodium chloride,compound,,Sodium chloride,离子化合物,5234,[Na+].[Cl-],[Na+].[Cl-],ClNa,58.44,PubChem PUG REST,2026-08-13,auto_fetched
H2O2,Hydrogen peroxide,compound,,Hydrogen peroxide,简单分子,784,OO,OO,H2O2,34.015,PubChem PUG REST,2026-08-13,auto_fetched
EDTA,Edetic acid,compound,,Edetic acid,缩写展开(乙二胺四乙酸),6049,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,C10H16N2O8,292.24,PubChem PUG REST,2026-08-13,auto_fetched
Sorbitol,Sorbitol,compound,,Sorbitol,糖醇,5780,C(C(C(C(C(CO)O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,C6H14O6,182.17,PubChem PUG REST,2026-08-13,auto_fetched
"(1R, 2S, 5R) - (-) - Menthol",(-)-Menthol,compound,,(-)-Menthol,立体异构，保留手性,16666,CC1CCC(C(C1)O)C(C)C,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,C10H20O,156.26,PubChem PUG REST,2026-08-13,auto_fetched
(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,compound,,(S)-(+)-Camptothecin,立体异构，保留手性,24360,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,C20H16N2O4,348.4,PubChem PUG REST,2026-08-13,auto_fetched
4-Hydroxytamoxifen,4-Hydroxytamoxifen,compound,,4-Hydroxytamoxifen,,449459,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,C26H29NO2,387.5,PubChem PUG REST,2026-08-13,auto_fetched
Abietic acid,Abietic acid,compound,,Abietic acid,,10569,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,C20H30O2,302.5,PubChem PUG REST,2026-08-13,auto_fetched
Amphotericin B,Amphotericin B,compound,,Amphotericin B,复杂天然产物,5280965,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,C47H73NO17,924.1,PubChem PUG REST,2026-08-13,auto_fetched
Anisomycin,Anisomycin,compound,,Anisomycin,,253602,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,C14H19NO4,265.30,PubChem PUG REST,2026-08-13,auto_fetched
Artemisinin,Artemisinin,compound,,Artemisinin,,68827,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,C15H22O5,282.33,PubChem PUG REST,2026-08-13,auto_fetched
Brefeldin A,Brefeldin A,compound,,Brefeldin A,,5287620,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,C16H24O4,280.36,PubChem PUG REST,2026-08-13,auto_fetched
Cisplatin,Cisplatin,compound,,Cisplatin,含铂,5702198,N.N.Cl[Pt]Cl,N.N.Cl[Pt]Cl,Cl2H6N2Pt,300.05,PubChem PUG REST,2026-08-13,auto_fetched
Clotrimazole,Clotrimazole,compound,,Clotrimazole,,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,C22H17ClN2,344.8,PubChem PUG REST,2026-08-13,auto_fetched
