chemical_id,raw_name,normalized_name,pert_ids,chemical_roles,seen_splits,first_seen_split,seen_in_train,seen_in_validation,seen_in_test,n_metadata_rows,query_name,used_alias,match_source,candidate_cids,pubchem_cid,pubchem_query_endpoint,query_date,raw_response_sha256,pubchem_smiles_field,canonical_smiles,isomeric_smiles,inchikey,molecular_formula,pubchem_title,mapping_status,mapping_confidence,special_control_type,cas_number,structure_issue,decision_reason,raw_structure_smiles,raw_structure_inchikey,parent_smiles,parent_inchikey,standardization_operations,structure_valid
"(1R, 2S, 5R) - (-) - Menthol","(1R, 2S, 5R) - (-) - Menthol","(1R, 2S, 5R)-(-)-Menthol",#4,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,144,"(1R, 2S, 5R)-(-)-Menthol",(-)-menthol,manual_override+pubchem_name_synonym,16666,16666,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/16666/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,fbfc1748cfbb386bfb21964a4b487153d17c908ce3bd58db1ff68f55de4dd691|f8fa4401bde56b3b3e976252909affbfb8d800ee16d0e43eca06142d14b68956|f8fa4401bde56b3b3e976252909affbfb8d800ee16d0e43eca06142d14b68956|82c4e587d0eb1f53645e37d482139f15f219be5c961bf382c6fc3984357b5fe5|efcde9bf2a7e7e44052abb35371f7e41ea54c5e4819058d45b08a3dec76c9fce,ConnectivitySMILES|SMILES,CC1CCC(C(C1)O)C(C)C,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,NOOLISFMXDJSKH-KXUCPTDWSA-N,C10H20O,(-)-Menthol,confirmed,high,,,stereochemistry|name_not_exact_synonym,Alias (-)-menthol/L-menthol resolves uniquely and preserves the stated stereochemistry.,C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,NOOLISFMXDJSKH-KXUCPTDWSA-N,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,NOOLISFMXDJSKH-KXUCPTDWSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,#5,test,test_chem_only|test_both,test_chem_only,False,False,True,144,(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,manual_override+pubchem_name_synonym,24360,24360,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/24360/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,528582c09524045554e48e6735b6b40b9509b0d59d140c223db0cfa083d2a98c|2f1346a3f5fdc14b36e026ff08b44a80ea38c7a6ff407a3e76a2dd72af4ba643|92a054246303dba3554b9d83df807d18821cc945e11ee5193674e22e5483b75c,ConnectivitySMILES|SMILES,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,VSJKWCGYPAHWDS-FQEVSTJZSA-N,C20H16N2O4,Camptothecin,confirmed,high,,,stereochemistry,Exact stereochemical name resolves uniquely to PubChem camptothecin CID 24360.,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,VSJKWCGYPAHWDS-FQEVSTJZSA-N,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,VSJKWCGYPAHWDS-FQEVSTJZSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
1-10 Phenanthroline monohydrate,1-10 Phenanthroline monohydrate,1-10 Phenanthroline monohydrate,#46|#6,train,train|val_strain_only|test_strain_only|test_time,train,True,True,True,255,1-10 Phenanthroline monohydrate,"1,10-phenanthroline monohydrate",manual_override+pubchem_name_synonym,1318|21226,21226,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/21226/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,fbfc1748cfbb386bfb21964a4b487153d17c908ce3bd58db1ff68f55de4dd691|3862cc2b7de704c7af831f38de7436b039155fb89134c4e8feafc1b6a9cefcd8|7e0f6d7925133abfd473725bc23b05758138c455b54b64bf49b5aa423c0ced66|834301aa0303e605b8058f53750a1deb9832458651059b8d038e8a5a18e77359|b0394d57283483bb0c2720846e01f91c9a777c6d03478e1b8bfbe0a48fc049cf|372ff609e0314370c1512f25fd65e9c0dbf72f0ddf5bb2724aaec1d7b3ef25b0|19f25a54ce8985a30fbbeafa9c35d64f2a0acd6e065ed6230c8f068da79ff36e,ConnectivitySMILES|SMILES,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,PPQJCISYYXZCAE-UHFFFAOYSA-N,C12H10N2O,"1,10-Phenanthroline hydrate",confirmed,high,,,multiple_candidate_cids|multicomponent_or_salt|name_not_exact_synonym,Selected the hydrate CID rather than anhydrous CID 1318; parent extraction is explicit and retains the raw hydrate structure.,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O,PPQJCISYYXZCAE-UHFFFAOYSA-N,c1cnc2c(c1)ccc1cccnc12,DGEZNRSVGBDHLK-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
4-Hydroxytamoxifen,4-Hydroxytamoxifen,4-Hydroxytamoxifen,#7,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,143,4-Hydroxytamoxifen,4-Hydroxytamoxifen,manual_override+pubchem_name_synonym,449459,449459,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/449459/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,24f03eb5205f00308e3fc8af4577e4d969ec5894bd9fb99a1200f7392f6fa687|1155c86724981467ecfb94500dc5e63fc720011eb5e1c0f42436aeeaa30cf2c6|de1a4ed59de4885a0523a8787f219e6e291795539bbc3a794bc2f4aacfd492c8,ConnectivitySMILES|SMILES,CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,TXUZVZSFRXZGTL-QPLCGJKRSA-N,C26H29NO2,4-Hydroxytamoxifen,confirmed,high,,,,Exact name resolves uniquely and PubChem title agrees.,CC/C(=C(\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,TXUZVZSFRXZGTL-QPLCGJKRSA-N,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,TXUZVZSFRXZGTL-QPLCGJKRSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Abietic acid,Abietic acid,Abietic acid,#3,test,test_chem_only|test_both,test_chem_only,False,False,True,143,Abietic acid,Abietic acid,manual_override+pubchem_name_synonym,10569,10569,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/10569/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,b2a24604cc4ff613d9274114824094162735d728f4a22ee1e96bf6a95c0205ca|c4ac89b0a200d5a6bd4cad44831b1f824da01aa01672d3db5af332dd07d123fc|3c2b36d13bee7267af87c6bcfd43731903e8cfbbce3f451fc7d0411894f0d77d,ConnectivitySMILES|SMILES,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,RSWGJHLUYNHPMX-ONCXSQPRSA-N,C20H30O2,Abietic Acid,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C,RSWGJHLUYNHPMX-ONCXSQPRSA-N,CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1,RSWGJHLUYNHPMX-ONCXSQPRSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Amiodarone hydrochloride,Amiodarone hydrochloride,Amiodarone hydrochloride,#8,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,143,Amiodarone hydrochloride,Amiodarone hydrochloride,manual_override+pubchem_name_synonym,441325,441325,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/441325/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,353b6f183d637f443f370a306ac3077012e591fe1c0b6ad31d6022cd8e45a65b|4f6dcc9b405bad8215b4ef8875585a0feb2f4d08a2ded00a44b85c7b89951555|7de7969c67e324bde739e838a2974244b6aebaaec164e87e2290c0718583a413,ConnectivitySMILES|SMILES,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,ITPDYQOUSLNIHG-UHFFFAOYSA-N,C25H30ClI2NO3,Amiodarone Hydrochloride,confirmed,medium,,,multicomponent_or_salt,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl,ITPDYQOUSLNIHG-UHFFFAOYSA-N,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); rdMolStandardize.FragmentParent(default parameters; manually approved); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Amphotericin B,Amphotericin B,Amphotericin B,#9,val,val_chem_only|val_both|test_both,val_chem_only,False,True,True,422,Amphotericin B,Amphotericin B,manual_override+pubchem_name_synonym,5280965,5280965,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5280965/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,f1ea5d225d6410d6b05d584f62ecfcf77f4cbac86c38fcc7ff3614a09f576f91|81f28988515a4410829612551f84ec422d721ae6c03e974a97f281a249f7d6dc|8d598186d516b649cacb4dfdf2d5781fabf45e75023cf566e5f6563ddfff68d9,ConnectivitySMILES|SMILES,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,APKFDSVGJQXUKY-INPOYWNPSA-N,C47H73NO17,Amphotericin B,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,APKFDSVGJQXUKY-INPOYWNPSA-N,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,APKFDSVGJQXUKY-INPOYWNPSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Anisomycin,Anisomycin,Anisomycin,#45|#9,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,288,Anisomycin,Anisomycin,manual_override+pubchem_name_synonym,253602,253602,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/253602/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,b4c5e330a18d5ac8f0e8ceb45d60043f4a9da6cff80fb66358c722c29e54cf1c|c0a252e7e7384572bb2f0b7d7cff01ea2b0d4993b44db86286a96a34df705892|90e1faeff8c0223091af5baea58c0e704fcb8065f563cb98b2dd7de1ee4ba98b,ConnectivitySMILES|SMILES,CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,YKJYKKNCCRKFSL-RDBSUJKOSA-N,C14H19NO4,Anisomycin,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O,YKJYKKNCCRKFSL-RDBSUJKOSA-N,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)cc1,YKJYKKNCCRKFSL-RDBSUJKOSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Artemisinin,Artemisinin,Artemisinin,#10,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,143,Artemisinin,Artemisinin,manual_override+pubchem_name_synonym,68827,68827,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/68827/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,d6149dce4ddd5443dec82a4ec15eab8a021ca019f77afaa3534e587a3e16d3c5|920c2d8c636c3bebdfc89403f47d1867369bbeebdbc95cd3c08408d346f65b27|f0109781d3416f55de7da0a1b4dea0e47a600a50d2022cba483a9ddc1529e0fc,ConnectivitySMILES|SMILES,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,BLUAFEHZUWYNDE-NNWCWBAJSA-N,C15H22O5,Artemisinin,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,BLUAFEHZUWYNDE-NNWCWBAJSA-N,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,BLUAFEHZUWYNDE-NNWCWBAJSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
Brefeldin A,Brefeldin A,Brefeldin A,#11|#44,train,train|val_strain_only|val_time|test_strain_only|test_time,train,True,True,True,288,Brefeldin A,Brefeldin A,manual_override+pubchem_name_synonym,5287620,5287620,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/5287620/property/ConnectivitySMILES,SMILES,InChIKey,MolecularFormula,IUPACName,Title/JSON",2026-08-13,cc3f749c37ce7d4ef0f72d9a54b851c94f3113a3b8a482089f6866deea6e3d0c|948e287b29decfdc185832e41b8084c5482a1b2d3f6c5b361b5423c8617d2457|8b77d7da363287ab6050d779392b6d734baa790a907e2b942125b24d36830024,ConnectivitySMILES|SMILES,CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,KQNZDYYTLMIZCT-KQPMLPITSA-N,C16H24O4,Brefeldin A,confirmed,high,,,stereochemistry,Exact name resolves uniquely and PubChem title agrees.,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,KQNZDYYTLMIZCT-KQPMLPITSA-N,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,KQNZDYYTLMIZCT-KQPMLPITSA-N,Chem.MolFromSmiles(sanitize=True); rdMolStandardize.Cleanup(default parameters); Chem.SanitizeMol; Chem.GetSymmSSSR,True
