raw_name,normalized_name,candidate_cids,selected_cid,review_status,mapping_status,decision_reason,structure_issue,evidence_url,review_date,cas_number,candidate_summaries_json
"(1R, 2S, 5R) - (-) - Menthol","(1R, 2S, 5R)-(-)-Menthol",16666,16666,reviewed,confirmed,Alias (-)-menthol/L-menthol resolves uniquely and preserves the stated stereochemistry.,stereochemistry|name_not_exact_synonym,https://pubchem.ncbi.nlm.nih.gov/compound/16666,2026-08-13,,"[{""cid"":""16666"",""connectivity_smiles"":""CC1CCC(C(C1)O)C(C)C"",""formula"":""C10H20O"",""isomeric_smiles"":""C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C"",""matched_aliases"":[""(-)-menthol"",""L-menthol""],""title"":""(-)-Menthol""}]"
(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,24360,24360,reviewed,confirmed,Exact stereochemical name resolves uniquely to PubChem camptothecin CID 24360.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/24360,2026-08-13,,"[{""cid"":""24360"",""connectivity_smiles"":""CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O"",""formula"":""C20H16N2O4"",""isomeric_smiles"":""CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O"",""matched_aliases"":[""(S)-(+)-Camptothecin""],""title"":""Camptothecin""}]"
1-10 Phenanthroline monohydrate,1-10 Phenanthroline monohydrate,1318|21226,21226,reviewed,confirmed,Selected the hydrate CID rather than anhydrous CID 1318; parent extraction is explicit and retains the raw hydrate structure.,multiple_candidate_cids|multicomponent_or_salt|name_not_exact_synonym,https://pubchem.ncbi.nlm.nih.gov/compound/21226,2026-08-13,,"[{""cid"":""1318"",""connectivity_smiles"":""C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1"",""formula"":""C12H8N2"",""isomeric_smiles"":""C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1"",""matched_aliases"":[""1,10-phenanthroline""],""title"":""1,10-Phenanthroline""},{""cid"":""21226"",""connectivity_smiles"":""C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O"",""formula"":""C12H10N2O"",""isomeric_smiles"":""C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O"",""matched_aliases"":[""1,10-phenanthroline monohydrate""],""title"":""1,10-Phenanthroline hydrate""}]"
4-Hydroxytamoxifen,4-Hydroxytamoxifen,449459,449459,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,,https://pubchem.ncbi.nlm.nih.gov/compound/449459,2026-08-13,,"[{""cid"":""449459"",""connectivity_smiles"":""CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3"",""formula"":""C26H29NO2"",""isomeric_smiles"":""CC/C(=C(\\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3"",""matched_aliases"":[""4-Hydroxytamoxifen""],""title"":""4-Hydroxytamoxifen""}]"
Abietic acid,Abietic acid,10569,10569,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/10569,2026-08-13,,"[{""cid"":""10569"",""connectivity_smiles"":""CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)O)C"",""formula"":""C20H30O2"",""isomeric_smiles"":""CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C"",""matched_aliases"":[""Abietic acid""],""title"":""Abietic Acid""}]"
Amiodarone hydrochloride,Amiodarone hydrochloride,441325,441325,reviewed,confirmed,Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.,multicomponent_or_salt,https://pubchem.ncbi.nlm.nih.gov/compound/441325,2026-08-13,,"[{""cid"":""441325"",""connectivity_smiles"":""CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl"",""formula"":""C25H30ClI2NO3"",""isomeric_smiles"":""CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I.Cl"",""matched_aliases"":[""Amiodarone hydrochloride""],""title"":""Amiodarone Hydrochloride""}]"
Amphotericin B,Amphotericin B,5280965,5280965,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,2026-08-13,,"[{""cid"":""5280965"",""connectivity_smiles"":""CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O"",""formula"":""C47H73NO17"",""isomeric_smiles"":""C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O"",""matched_aliases"":[""Amphotericin B""],""title"":""Amphotericin B""}]"
Anisomycin,Anisomycin,253602,253602,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/253602,2026-08-13,,"[{""cid"":""253602"",""connectivity_smiles"":""CC(=O)OC1C(CNC1CC2=CC=C(C=C2)OC)O"",""formula"":""C14H19NO4"",""isomeric_smiles"":""CC(=O)O[C@@H]1[C@H](CN[C@@H]1CC2=CC=C(C=C2)OC)O"",""matched_aliases"":[""Anisomycin""],""title"":""Anisomycin""}]"
Artemisinin,Artemisinin,68827,68827,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/68827,2026-08-13,,"[{""cid"":""68827"",""connectivity_smiles"":""CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C"",""formula"":""C15H22O5"",""isomeric_smiles"":""C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C"",""matched_aliases"":[""Artemisinin""],""title"":""Artemisinin""}]"
Brefeldin A,Brefeldin A,5287620,5287620,reviewed,confirmed,Exact name resolves uniquely and PubChem title agrees.,stereochemistry,https://pubchem.ncbi.nlm.nih.gov/compound/5287620,2026-08-13,,"[{""cid"":""5287620"",""connectivity_smiles"":""CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O"",""formula"":""C16H24O4"",""isomeric_smiles"":""C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O"",""matched_aliases"":[""Brefeldin A""],""title"":""Brefeldin A""}]"
CHX,CHX,6197,6197,reviewed,confirmed,Competition abbreviation was expanded to cycloheximide; both alias and returned title support CID 6197.,stereochemistry|name_not_exact_synonym,https://pubchem.ncbi.nlm.nih.gov/compound/6197,2026-08-13,,"[{""cid"":""6197"",""connectivity_smiles"":""CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C"",""formula"":""C15H23NO4"",""isomeric_smiles"":""C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C"",""matched_aliases"":[""cycloheximide""],""title"":""Cycloheximide""}]"
