chemical_id,raw_name,parent_inchikey
"(1R, 2S, 5R) - (-) - Menthol","(1R, 2S, 5R) - (-) - Menthol",NOOLISFMXDJSKH-KXUCPTDWSA-N
1-10 Phenanthroline monohydrate,1-10 Phenanthroline monohydrate,DGEZNRSVGBDHLK-UHFFFAOYSA-N
4-Hydroxytamoxifen,4-Hydroxytamoxifen,TXUZVZSFRXZGTL-QPLCGJKRSA-N
Amiodarone hydrochloride,Amiodarone hydrochloride,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
Anisomycin,Anisomycin,YKJYKKNCCRKFSL-RDBSUJKOSA-N
Artemisinin,Artemisinin,BLUAFEHZUWYNDE-NNWCWBAJSA-N
Brefeldin A,Brefeldin A,KQNZDYYTLMIZCT-KQPMLPITSA-N
CHX,CHX,YPHMISFOHDHNIV-FSZOTQKASA-N
Clomiphene citrate,Clomiphene citrate,GKIRPKYJQBWNGO-UHFFFAOYSA-N
Clotrimazole,Clotrimazole,VNFPBHJOKIVQEB-UHFFFAOYSA-N
Cyclopiazonic acid,Cyclopiazonic acid,SZINUGQCTHLQAZ-DQYPLSBCSA-N
Desipramine hydrochloride,Desipramine hydrochloride,HCYAFALTSJYZDH-UHFFFAOYSA-N
Dyclonine hydrochloride,Dyclonine hydrochloride,BZEWSEKUUPWQDQ-UHFFFAOYSA-N
EDTA,EDTA,KCXVZYZYPLLWCC-UHFFFAOYSA-N
Emodin,Emodin,RHMXXJGYXNZAPX-UHFFFAOYSA-N
Geldanamycin,Geldanamycin,QTQAWLPCGQOSGP-KSRBKZBZSA-N
Haloperidol,Haloperidol,LNEPOXFFQSENCJ-UHFFFAOYSA-N
Harmine hydrochloride,Harmine hydrochloride,BXNJHAXVSOCGBA-UHFFFAOYSA-N
Hoechst 33258,Hoechst 33258,INAAIJLSXJJHOZ-UHFFFAOYSA-N
LY 294002 hydrochloride,LY 294002 hydrochloride,CZQHHVNHHHRRDU-UHFFFAOYSA-N
Nigericin,Nigericin,DANUORFCFTYTSZ-SJSJOXFOSA-N
Nocodazole,Nocodazole,KYRVNWMVYQXFEU-UHFFFAOYSA-N
Nystatin dihydrate,Nystatin dihydrate,VQOXZBDYSJBXMA-LRUFXKSPSA-N
Oligomycin,Oligomycin,MNULEGDCPYONBU-AWJDAWNUSA-N
Parthenolide,Parthenolide,KTEXNACQROZXEV-SLXBATTESA-N
Rapamycin,Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N
SDS,SDS,MOTZDAYCYVMXPC-UHFFFAOYSA-M
Sorbitol,Sorbitol,FBPFZTCFMRRESA-JGWLITMVSA-N
Staurosporine,Staurosporine,HKSZLNNOFSGOKW-FYTWVXJKSA-N
Trichostatin A,Trichostatin A,RTKIYFITIVXBLE-QEQCGCAPSA-N
Trifluoperazine dihydrochloride,Trifluoperazine dihydrochloride,ZEWQUBUPAILYHI-UHFFFAOYSA-N
U-73122,U-73122,LUFAORPFSVMJIW-ZRJUGLEFSA-N
Valinomycin,Valinomycin,FCFNRCROJUBPLU-DNDCDFAISA-N
Wortmannin,Wortmannin,QDLHCMPXEPAAMD-QAIWCSMKSA-N
