model,scenario,subset,n_samples,n_proteins,n_valid_positions,global_fc_pcc,sample_fc_pcc_median,protein_fc_pcc_median,fc_rmse,fc_direction_accuracy
Matched Control,val_chem_only,common_intersection,981,4422,3577143,,,,0.3816509246826172,8.666133839211908e-06
V2 batch-enabled Huber,val_chem_only,common_intersection,981,4422,3577143,0.3072407270437958,0.3000119850513648,0.3460358097818942,0.6195839643478394,0.5976439857170932
V2 no-batch Morgan-only,val_chem_only,common_intersection,981,4422,3577143,0.1936656942025753,0.2459489349454146,0.2208469454257084,0.9536038637161256,0.5597380367516759
V2 experimental parity FC Morgan no-batch,val_chem_only,common_intersection,981,4422,3577143,0.190807107519072,0.208375211570936,0.213331896708906,0.9898507595062256,0.5515569268547553
Matched Control,val_strain_only,common_intersection,1313,4413,4824234,,,,0.4101383090019226,8.498758559389946e-06
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2442985072418199,0.2343910208072096,0.4033557672488032,0.736795961856842,0.5873145871448192
V2 no-batch Morgan-only,val_strain_only,common_intersection,1313,4413,4824234,0.194585436077697,0.2159507480856334,0.2904656256605,0.9193727970123292,0.5735059700669578
V2 experimental parity FC Morgan no-batch,val_strain_only,common_intersection,1313,4413,4824234,0.2485122710407118,0.2719238377562561,0.2776942712766191,0.7939612865447998,0.583613481435602
Matched Control,val_both,common_intersection,266,4408,960434,,,,0.3852837979793548,9.37076363394049e-06
V2 batch-enabled Huber,val_both,common_intersection,266,4408,960434,0.2256981492133032,0.2085524234803713,0.3725795506463355,0.8314878940582275,0.5719945358036055
V2 no-batch Morgan-only,val_both,common_intersection,266,4408,960434,0.1460883684726805,0.1689660793949584,0.2232878835613387,1.123327374458313,0.5436000807968064
V2 experimental parity FC Morgan no-batch,val_both,common_intersection,266,4408,960434,0.1782924560209187,0.2047085030689726,0.2210436613104195,0.991726815700531,0.5462499245132929
Matched Control,val_time,common_intersection,134,4422,486393,,,,0.4335888624191284,8.22380256294807e-06
V2 batch-enabled Huber,val_time,common_intersection,134,4422,486393,0.3138991961987597,0.3182437240024489,0.3362765433609398,0.5562522411346436,0.6095914209291663
V2 no-batch Morgan-only,val_time,common_intersection,134,4422,486393,0.2711481183068366,0.3356634114419188,0.272524968113818,0.6948607563972473,0.6032097501403186
V2 experimental parity FC Morgan no-batch,val_time,common_intersection,134,4422,486393,0.2347986703494178,0.2363817642358966,0.2368668506293268,0.7885404825210571,0.5769696521125921
S1 B anchor Morgan Huber,val_chem_only,common_intersection,981,4422,3577143,0.30423851917476213,0.3061849293501736,0.33330359043349644,0.5964546799659729,0.603772060552234
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,981,4422,3577143,0.31063161903515923,0.30948405901944825,0.3494345006478602,0.614058256149292,0.6075731386751941
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2492046745912214,0.24040106597993013,0.3940883443520863,0.727517306804657,0.5883197208095627
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,common_intersection,1313,4413,4824234,0.26147486258809427,0.2544501221055235,0.4064065132501871,0.7180272936820984,0.5943156986166094
S1 B anchor Morgan Huber,val_both,common_intersection,266,4408,960434,0.22238270008702196,0.21329700648506167,0.351181516855899,0.798532247543335,0.5738364114556544
S1 C anchor Morgan Huber plus experimental FC,val_both,common_intersection,266,4408,960434,0.23064762775323963,0.2181457794198841,0.37119944095331736,0.8054149746894836,0.5783520783312545
S1 B anchor Morgan Huber,val_time,common_intersection,134,4422,486393,0.3213951339713685,0.324504300736491,0.33232520823711453,0.5546213984489441,0.6099861634521878
S1 C anchor Morgan Huber plus experimental FC,val_time,common_intersection,134,4422,486393,0.3492874941241026,0.3506726770614762,0.3600289135286828,0.540155827999115,0.6196552993155741
