model,scenario,subset,threshold_rule,n_valid_positions,n_true_high_effect,n_predicted_high_effect,direction_accuracy,high_effect_pcc,precision,recall,f1,auprc,auprc_unavailable_reason
Matched Control,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,0,0.0,,,0.0,,0.0209863535316614,
V2 batch-enabled Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,319749,0.810995320395374,0.6081449902547214,0.0857047246433921,0.3198002123910329,0.1351815311760063,0.0807695798114558,
V2 no-batch Morgan-only,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,835570,0.6970276925231355,0.4868584849155711,0.0461337769426858,0.4498488756112077,0.0836852965663367,0.0567558675978278,
V2 experimental parity FC Morgan no-batch,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,980121,0.6943086205085715,0.5052247180624824,0.0412061367933142,0.4713097058034099,0.0757863488119856,0.0605351366669785,
Matched Control,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,0,0.0,,,0.0,,0.0262102839562963,
V2 batch-enabled Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,573406,0.7670598526767428,0.5105477586594935,0.0858693491173793,0.3418427209675291,0.1372596847415056,0.0752357979203844,
V2 no-batch Morgan-only,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,902429,0.7517651714490027,0.4726462593769249,0.0599315846454402,0.3754868540722175,0.1033650400490794,0.0551209938112525,
V2 experimental parity FC Morgan no-batch,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,798100,0.7743010476474794,0.5541654259815567,0.0664641022428267,0.3682734297437464,0.1126057038413733,0.0722356698552317,
Matched Control,val_both,common_intersection,abs(delta_true) > 1,960434,23953,0,0.0,,,0.0,,0.02118664485226,
V2 batch-enabled Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,161383,0.7737235419362919,0.5391219244696803,0.055439544437766,0.3735231495011063,0.0965489705184098,0.0534807280141475,
V2 no-batch Morgan-only,val_both,common_intersection,abs(delta_true) > 1,960434,23953,285811,0.6827537260468417,0.4317039317851956,0.0390327874014646,0.4657454181104663,0.0720290285507676,0.044803062282744,
V2 experimental parity FC Morgan no-batch,val_both,common_intersection,abs(delta_true) > 1,960434,23953,264856,0.6941510457980211,0.5015409773776259,0.0411884193675053,0.4554335573832088,0.075544737179243,0.057651616689103,
Matched Control,val_time,common_intersection,abs(delta_true) > 1,486393,16926,0,0.0,,,0.0,,0.0317772778296076,
V2 batch-enabled Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,24429,0.7554649651423845,0.5133686832120925,0.1675467681853534,0.2418173224624837,0.1979446258009914,0.1162424978969784,
V2 no-batch Morgan-only,val_time,common_intersection,abs(delta_true) > 1,486393,16926,52028,0.7703533026113671,0.5328491195347907,0.0883178288613823,0.271475835991965,0.1332772573019694,0.07353518762703,
V2 experimental parity FC Morgan no-batch,val_time,common_intersection,abs(delta_true) > 1,486393,16926,75162,0.7405175469691598,0.4895428633892357,0.0717383784359117,0.3185631572728347,0.1171053774650334,0.074940332440195,
S1 B anchor Morgan Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,273793,0.7875039385699781,0.6037928882858407,0.1029756056582893,0.3290193835992111,0.15685816336749342,0.09091098777313406,
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,311597,0.8052771002789091,0.6142544052197557,0.0932679069439051,0.33914880209123477,0.14630192706550413,0.08419828949632806,
S1 B anchor Morgan Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,564285,0.7722807334226622,0.5231893310239509,0.08744340182709091,0.3425717003269993,0.13932364094296096,0.07549174250250724,
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,549027,0.7853468206085936,0.5433442349230916,0.08914862110606582,0.3398085214215792,0.14124236722726907,0.07635587403301071,
S1 B anchor Morgan Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,141516,0.7691729637206195,0.5403021948854451,0.06313067073687781,0.3729804199891454,0.10798397282874739,0.05888893021423427,
S1 C anchor Morgan Huber plus experimental FC,val_both,common_intersection,abs(delta_true) > 1,960434,23953,147141,0.7788168496639252,0.544053742203079,0.061016304089274914,0.37481735064501315,0.10494815715337769,0.056752136864394315,
S1 B anchor Morgan Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,25256,0.7587144038756942,0.5349864390737412,0.16621792841305036,0.24802079640789318,0.19904224550756247,0.11734321611708098,
S1 C anchor Morgan Huber plus experimental FC,val_time,common_intersection,abs(delta_true) > 1,486393,16926,24726,0.7882547559966915,0.5726605877066911,0.17746501658173583,0.25924613021387216,0.21069816575434555,0.12824699645733423,
