model,scenario,delta_response_rms,delta_source_rms,delta_instrument_rms,delta_plate_rms,delta_batch_rms,delta_response_norm,delta_batch_norm,batch_to_response_norm
S2B D0 hierarchical none Huber,val_chem_only,0.1960445190581955,0.5287655713474891,0.17385137401206394,0.04208996143137983,0.6471161450654187,370.78559705625617,1223.9125447909012,3.3008632333828416
S2B D1 hierarchical Morgan Huber,val_chem_only,0.3012225964767295,0.5287655713474891,0.17385137401206394,0.04208996143137983,0.6471161450654187,569.7124347980631,1223.9125447909012,2.1482988083711425
S2B D2 hierarchical Morgan experimental FC,val_chem_only,0.25404724313529636,0.5287655713474891,0.17385137401206394,0.04208996143137983,0.6471161450654187,480.48810126874554,1223.9125447909012,2.5472275828665008
S2B D0 hierarchical none Huber,val_strain_only,0.18292447824335725,0.44450285462156636,0.20597246012019862,0.044624030626760014,0.588440022413556,401.7778658264129,1292.457841851195,3.216846799643259
S2B D1 hierarchical Morgan Huber,val_strain_only,0.29878867572394385,0.44450285462156636,0.20597246012019862,0.044624030626760014,0.588440022413556,656.2635991546183,1292.457841851195,1.969418757212964
S2B D2 hierarchical Morgan experimental FC,val_strain_only,0.2744564001996901,0.44450285462156636,0.20597246012019862,0.044624030626760014,0.588440022413556,602.8198510859261,1292.457841851195,2.144020041017143
S2B D0 hierarchical none Huber,val_both,0.17272741404430642,0.5313114891546071,0.1820879705935399,0.04282302385796947,0.6568155071418559,169.2758620287785,643.6905906365696,3.8026129828666067
S2B D1 hierarchical Morgan Huber,val_both,0.2738588761845967,0.5313114891546071,0.1820879705935399,0.04282302385796947,0.6568155071418559,268.38644923201883,643.6905906365696,2.3983721699753255
S2B D2 hierarchical Morgan experimental FC,val_both,0.21813108668422934,0.5313114891546071,0.1820879705935399,0.04282302385796947,0.6568155071418559,213.7722488236619,643.6905906365696,3.011104547847752
S2B D0 hierarchical none Huber,val_time,0.19610446921124822,0.4289631487734988,0.1735923908533513,0.04584723044693295,0.5297350686239076,136.76694603918696,369.44720248831186,2.7012901376218235
S2B D1 hierarchical Morgan Huber,val_time,0.31804009532306665,0.4289631487734988,0.1735923908533513,0.04584723044693295,0.5297350686239076,221.8071456010081,369.44720248831186,1.6656235374530366
S2B D2 hierarchical Morgan experimental FC,val_time,0.287560559770088,0.4289631487734988,0.1735923908533513,0.04584723044693295,0.5297350686239076,200.5501441107299,369.44720248831186,1.8421687210772022
