model,scenario,subset,n_samples,n_proteins,n_valid_positions,global_fc_pcc,sample_fc_pcc_median,protein_fc_pcc_median,fc_rmse,fc_direction_accuracy
Matched Control,val_chem_only,common_intersection,981,4422,3577143,,,,0.3816509246826172,8.666133839211908e-06
V2 batch-enabled Huber,val_chem_only,common_intersection,981,4422,3577143,0.3072407270437958,0.3000119850513648,0.3460358097818942,0.6195839643478394,0.5976439857170932
Matched Control,val_strain_only,common_intersection,1313,4413,4824234,,,,0.4101383090019226,8.498758559389946e-06
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2442985072418199,0.2343910208072096,0.4033557672488032,0.736795961856842,0.5873145871448192
Matched Control,val_both,common_intersection,266,4408,960434,,,,0.3852837979793548,9.37076363394049e-06
V2 batch-enabled Huber,val_both,common_intersection,266,4408,960434,0.2256981492133032,0.2085524234803713,0.3725795506463355,0.8314878940582275,0.5719945358036055
Matched Control,val_time,common_intersection,134,4422,486393,,,,0.4335888624191284,8.22380256294807e-06
V2 batch-enabled Huber,val_time,common_intersection,134,4422,486393,0.3138991961987597,0.3182437240024489,0.3362765433609398,0.5562522411346436,0.6095914209291663
S1 B anchor Morgan Huber,val_chem_only,common_intersection,981,4422,3577143,0.3042385191747621,0.3061849293501736,0.3333035904334964,0.5964546799659729,0.603772060552234
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,981,4422,3577143,0.3106316190351592,0.3094840590194482,0.3494345006478602,0.614058256149292,0.6075731386751941
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2492046745912214,0.2404010659799301,0.3940883443520863,0.727517306804657,0.5883197208095627
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,common_intersection,1313,4413,4824234,0.2614748625880942,0.2544501221055235,0.4064065132501871,0.7180272936820984,0.5943156986166094
S1 B anchor Morgan Huber,val_both,common_intersection,266,4408,960434,0.2223827000870219,0.2132970064850616,0.351181516855899,0.798532247543335,0.5738364114556544
S1 C anchor Morgan Huber plus experimental FC,val_both,common_intersection,266,4408,960434,0.2306476277532396,0.2181457794198841,0.3711994409533173,0.8054149746894836,0.5783520783312545
S1 B anchor Morgan Huber,val_time,common_intersection,134,4422,486393,0.3213951339713685,0.324504300736491,0.3323252082371145,0.5546213984489441,0.6099861634521878
S1 C anchor Morgan Huber plus experimental FC,val_time,common_intersection,134,4422,486393,0.3492874941241026,0.3506726770614762,0.3600289135286828,0.540155827999115,0.6196552993155741
S2B D0 hierarchical none Huber,val_chem_only,common_intersection,981,4422,3577143,0.32738336847635957,0.32808782409666976,0.35293237692157753,0.5477526187896729,0.6105101193885735
S2B D1 hierarchical Morgan Huber,val_chem_only,common_intersection,981,4422,3577143,0.30602826498535685,0.31510938044304687,0.336499532087476,0.607900857925415,0.6042294087767808
S2B D2 hierarchical Morgan experimental FC,val_chem_only,common_intersection,981,4422,3577143,0.32354836080570115,0.32778937327393964,0.3460799557927455,0.5794022083282471,0.609924176919961
S2B D0 hierarchical none Huber,val_strain_only,common_intersection,1313,4413,4824234,0.22401184712828884,0.22315101861890202,0.37953079192171324,0.765321671962738,0.5788002820758694
S2B D1 hierarchical Morgan Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2426899662722357,0.23200468536224392,0.41423061756883084,0.7499248385429382,0.5872689840501103
S2B D2 hierarchical Morgan experimental FC,val_strain_only,common_intersection,1313,4413,4824234,0.24950275254927404,0.2393497726373274,0.420339680401152,0.7529476881027222,0.588793163847359
S2B D0 hierarchical none Huber,val_both,common_intersection,266,4408,960434,0.20903577749820482,0.19944053661573713,0.3682786804221435,0.8082606196403503,0.5708242315453222
S2B D1 hierarchical Morgan Huber,val_both,common_intersection,266,4408,960434,0.2108283604329187,0.20250270620206695,0.3487332531803483,0.8402326107025146,0.5685211060832915
S2B D2 hierarchical Morgan experimental FC,val_both,common_intersection,266,4408,960434,0.21890899129063207,0.2088957394360243,0.3614907612218534,0.8114367127418518,0.5731346453790682
S2B D0 hierarchical none Huber,val_time,common_intersection,134,4422,486393,0.3148662293653545,0.33273522236149955,0.3258175426973582,0.5496427416801453,0.6055144708085848
S2B D1 hierarchical Morgan Huber,val_time,common_intersection,134,4422,486393,0.3789217453486592,0.3725503183327582,0.38784112393562864,0.510549783706665,0.6209073732557828
S2B D2 hierarchical Morgan experimental FC,val_time,common_intersection,134,4422,486393,0.39801113526405063,0.383435987307186,0.40761175978864583,0.5093175172805786,0.6268305670517462
