model,scenario,subset,threshold_rule,n_valid_positions,n_true_high_effect,n_predicted_high_effect,direction_accuracy,high_effect_pcc,precision,recall,f1,auprc,auprc_unavailable_reason
Matched Control,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,0,0.0,,,0.0,,0.0209863535316614,
V2 batch-enabled Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,319749,0.810995320395374,0.6081449902547214,0.0857047246433921,0.3198002123910329,0.1351815311760063,0.0807695798114558,
Matched Control,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,0,0.0,,,0.0,,0.0262102839562963,
V2 batch-enabled Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,573406,0.7670598526767428,0.5105477586594935,0.0858693491173793,0.3418427209675291,0.1372596847415056,0.0752357979203844,
Matched Control,val_both,common_intersection,abs(delta_true) > 1,960434,23953,0,0.0,,,0.0,,0.02118664485226,
V2 batch-enabled Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,161383,0.7737235419362919,0.5391219244696803,0.055439544437766,0.3735231495011063,0.0965489705184098,0.0534807280141475,
Matched Control,val_time,common_intersection,abs(delta_true) > 1,486393,16926,0,0.0,,,0.0,,0.0317772778296076,
V2 batch-enabled Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,24429,0.7554649651423845,0.5133686832120925,0.1675467681853534,0.2418173224624837,0.1979446258009914,0.1162424978969784,
S1 B anchor Morgan Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,273793,0.7875039385699781,0.6037928882858407,0.1029756056582893,0.3290193835992111,0.1568581633674934,0.090910987773134,
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,311597,0.8052771002789091,0.6142544052197557,0.0932679069439051,0.3391488020912347,0.1463019270655041,0.084198289496328,
S1 B anchor Morgan Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,564285,0.7722807334226622,0.5231893310239509,0.0874434018270909,0.3425717003269993,0.1393236409429609,0.0754917425025072,
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,549027,0.7853468206085936,0.5433442349230916,0.0891486211060658,0.3398085214215792,0.141242367227269,0.0763558740330107,
S1 B anchor Morgan Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,141516,0.7691729637206195,0.5403021948854451,0.0631306707368778,0.3729804199891454,0.1079839728287473,0.0588889302142342,
S1 C anchor Morgan Huber plus experimental FC,val_both,common_intersection,abs(delta_true) > 1,960434,23953,147141,0.7788168496639252,0.544053742203079,0.0610163040892749,0.3748173506450131,0.1049481571533776,0.0567521368643943,
S1 B anchor Morgan Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,25256,0.7587144038756942,0.5349864390737412,0.1662179284130503,0.2480207964078931,0.1990422455075624,0.1173432161170809,
S1 C anchor Morgan Huber plus experimental FC,val_time,common_intersection,abs(delta_true) > 1,486393,16926,24726,0.7882547559966915,0.5726605877066911,0.1774650165817358,0.2592461302138721,0.2106981657543455,0.1282469964573342,
S2B D0 hierarchical none Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,214763,0.8080311818043902,0.6190050984653385,0.11663554709144498,0.29231774632108387,0.16674099862208525,0.096353273585346,
S2B D1 hierarchical Morgan Huber,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,292875,0.8030598312541574,0.608511345007591,0.09647460520699958,0.32973124365452616,0.14927383864372396,0.08455692777557636,
S2B D2 hierarchical Morgan experimental FC,val_chem_only,common_intersection,abs(delta_true) > 1,3577143,85691,261927,0.8121156247447223,0.6250749060194944,0.1061211711660119,0.32437478848420487,0.15992267373956467,0.092656454066436,
S2B D0 hierarchical none Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,588440,0.7479050521740942,0.4821066870324007,0.0840884372238461,0.34352978748516005,0.13510594871920895,0.07149330599126541,
S2B D1 hierarchical Morgan Huber,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,580715,0.7731763366357255,0.5179382023830418,0.08759374219711907,0.35315231503016586,0.1403707751065192,0.07450920551589106,
S2B D2 hierarchical Morgan experimental FC,val_strain_only,common_intersection,abs(delta_true) > 1,4824234,144037,595889,0.7835833848247326,0.5340983432284011,0.08824965723482057,0.3650936912043433,0.14214124115114213,0.07580974320894227,
S2B D0 hierarchical none Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,136876,0.7607397820732268,0.5141654874280396,0.06272100295157661,0.3584102200141945,0.10675935310174159,0.05517860569147204,
S2B D1 hierarchical Morgan Huber,val_both,common_intersection,abs(delta_true) > 1,960434,23953,154057,0.7648311276249321,0.5254181242393268,0.05904957256080542,0.37978541310065544,0.10220774113813831,0.05501891843945219,
S2B D2 hierarchical Morgan experimental FC,val_both,common_intersection,abs(delta_true) > 1,960434,23953,142478,0.772763328184361,0.5346718770287772,0.06238156066199694,0.3710599924852837,0.10680702513353882,0.05669070556231762,
S2B D0 hierarchical none Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,23104,0.7590688881011461,0.523398018019133,0.170446675900277,0.2326598133049746,0.19675243567324505,0.1147424079124333,
S2B D1 hierarchical Morgan Huber,val_time,common_intersection,abs(delta_true) > 1,486393,16926,20714,0.8222261609358383,0.6394669818380031,0.21429950757941488,0.2622592461302139,0.23586609989373009,0.15154937737797658,
S2B D2 hierarchical Morgan experimental FC,val_time,common_intersection,abs(delta_true) > 1,486393,16926,22089,0.8315609122060735,0.6614891130594069,0.22332382633890172,0.2914451140257592,0.252877098551839,0.16510229156536177,
