model,scenario,batch_mode,absolute_rmse,raw_fc_global_pcc,raw_fc_rmse
S2B D0 hierarchical none Huber,val_chem_only,known,0.5477526187896729,0.32738336847635957,0.5477526187896729
S2B D0 hierarchical none Huber,val_chem_only,oov_plate,0.548861026763916,0.3258176859149704,0.548861026763916
S2B D0 hierarchical none Huber,val_chem_only,oov_instrument,0.5857077836990356,0.30494129151715094,0.5857077836990356
S2B D0 hierarchical none Huber,val_chem_only,all_oov,0.894419252872467,0.19634427456807138,0.894419252872467
S2B D1 hierarchical Morgan Huber,val_chem_only,known,0.607900857925415,0.30602826498535685,0.607900857925415
S2B D1 hierarchical Morgan Huber,val_chem_only,oov_plate,0.6086074113845825,0.3047904223309823,0.6086074113845825
S2B D1 hierarchical Morgan Huber,val_chem_only,oov_instrument,0.6423850655555725,0.28878226731829737,0.6423850655555725
S2B D1 hierarchical Morgan Huber,val_chem_only,all_oov,0.9336420893669128,0.19623414377735932,0.9336420893669128
S2B D2 hierarchical Morgan experimental FC,val_chem_only,known,0.5794022083282471,0.32354836080570115,0.5794022083282471
S2B D2 hierarchical Morgan experimental FC,val_chem_only,oov_plate,0.5801220536231995,0.3223025218097922,0.5801220536231995
S2B D2 hierarchical Morgan experimental FC,val_chem_only,oov_instrument,0.6145124435424805,0.3044295253626577,0.6145124435424805
S2B D2 hierarchical Morgan experimental FC,val_chem_only,all_oov,0.9134225249290466,0.20279033085418177,0.9134225249290466
S2B D0 hierarchical none Huber,val_strain_only,known,0.765321671962738,0.22401184712828884,0.765321671962738
S2B D0 hierarchical none Huber,val_strain_only,oov_plate,0.7645488381385803,0.2233274367351206,0.7645488381385803
S2B D0 hierarchical none Huber,val_strain_only,oov_instrument,0.7984057068824768,0.21511534448563138,0.7984057068824768
S2B D0 hierarchical none Huber,val_strain_only,all_oov,0.9816991090774536,0.1787532052822438,0.9816991090774536
S2B D1 hierarchical Morgan Huber,val_strain_only,known,0.7499248385429382,0.2426899662722357,0.7499248385429382
S2B D1 hierarchical Morgan Huber,val_strain_only,oov_plate,0.7492544651031494,0.24191537657635087,0.7492544651031494
S2B D1 hierarchical Morgan Huber,val_strain_only,oov_instrument,0.7849975824356079,0.23268585445840506,0.7849975824356079
S2B D1 hierarchical Morgan Huber,val_strain_only,all_oov,0.9744696021080017,0.19177091448812136,0.9744696021080017
S2B D2 hierarchical Morgan experimental FC,val_strain_only,known,0.7529476881027222,0.24950275254927404,0.7529476881027222
S2B D2 hierarchical Morgan experimental FC,val_strain_only,oov_plate,0.7521592378616333,0.2487750565655294,0.7521592378616333
S2B D2 hierarchical Morgan experimental FC,val_strain_only,oov_instrument,0.7889662981033325,0.23907520649750505,0.7889662981033325
S2B D2 hierarchical Morgan experimental FC,val_strain_only,all_oov,0.9792222380638123,0.19726720283395072,0.9792222380638123
S2B D0 hierarchical none Huber,val_both,known,0.8082606196403503,0.20903577749820482,0.8082606196403503
S2B D0 hierarchical none Huber,val_both,oov_plate,0.806613028049469,0.20879707662006985,0.806613028049469
S2B D0 hierarchical none Huber,val_both,oov_instrument,0.8299917578697205,0.20310162786685368,0.8299917578697205
S2B D0 hierarchical none Huber,val_both,all_oov,1.0603448152542114,0.15095027482264906,1.0603448152542114
S2B D1 hierarchical Morgan Huber,val_both,known,0.8402326107025146,0.2108283604329187,0.8402326107025146
S2B D1 hierarchical Morgan Huber,val_both,oov_plate,0.8387020230293274,0.2105319582362506,0.8387020230293274
S2B D1 hierarchical Morgan Huber,val_both,oov_instrument,0.8617042303085327,0.20512249189040846,0.8617042303085327
S2B D1 hierarchical Morgan Huber,val_both,all_oov,1.0862435102462769,0.15487468478074126,1.0862435102462769
S2B D2 hierarchical Morgan experimental FC,val_both,known,0.8114367127418518,0.21890899129063207,0.8114367127418518
S2B D2 hierarchical Morgan experimental FC,val_both,oov_plate,0.8098914623260498,0.21864196057969143,0.8098914623260498
S2B D2 hierarchical Morgan experimental FC,val_both,oov_instrument,0.8329677581787109,0.21282705443518116,0.8329677581787109
S2B D2 hierarchical Morgan experimental FC,val_both,all_oov,1.0628300905227661,0.1590406072851383,1.0628300905227661
S2B D0 hierarchical none Huber,val_time,known,0.5496427416801453,0.3148662293653545,0.5496427416801453
S2B D0 hierarchical none Huber,val_time,oov_plate,0.5519422888755798,0.3140322178454666,0.5519422888755798
S2B D0 hierarchical none Huber,val_time,oov_instrument,0.5740435123443604,0.30260739018544525,0.5740435123443604
S2B D0 hierarchical none Huber,val_time,all_oov,0.7723999619483948,0.22228033160614236,0.7723999619483948
S2B D1 hierarchical Morgan Huber,val_time,known,0.510549783706665,0.3789217453486592,0.510549783706665
S2B D1 hierarchical Morgan Huber,val_time,oov_plate,0.5121352076530457,0.3778009117777759,0.5121352076530457
S2B D1 hierarchical Morgan Huber,val_time,oov_instrument,0.5366527438163757,0.361948309730088,0.5366527438163757
S2B D1 hierarchical Morgan Huber,val_time,all_oov,0.7509930729866028,0.2604522889933606,0.7509930729866028
S2B D2 hierarchical Morgan experimental FC,val_time,known,0.5093175172805786,0.39801113526405063,0.5093175172805786
S2B D2 hierarchical Morgan experimental FC,val_time,oov_plate,0.5110915303230286,0.396757885604375,0.5110915303230286
S2B D2 hierarchical Morgan experimental FC,val_time,oov_instrument,0.5358569025993347,0.38044926869232654,0.5358569025993347
S2B D2 hierarchical Morgan experimental FC,val_time,all_oov,0.7531992197036743,0.27502870059999684,0.7531992197036743
