model,scenario,chemical_name,rmse_gain_vs_d0
S2B D1 hierarchical Morgan Huber,val_both,Amphotericin B,-0.11145877838134766
S2B D1 hierarchical Morgan Huber,val_both,FCCP,-0.04787015914916992
S2B D1 hierarchical Morgan Huber,val_both,Hydroxyurea,0.06338173151016235
S2B D1 hierarchical Morgan Huber,val_both,Pentamidine isethionate,-0.03952699899673462
S2B D1 hierarchical Morgan Huber,val_both,Raloxifene hydrochloride,-0.019655883312225342
S2B D1 hierarchical Morgan Huber,val_both,Sulfometuron methyl,-0.009087026119232178
S2B D1 hierarchical Morgan Huber,val_chem_only,Amphotericin B,-0.17411315441131592
S2B D1 hierarchical Morgan Huber,val_chem_only,FCCP,-0.06729412078857422
S2B D1 hierarchical Morgan Huber,val_chem_only,Hydroxyurea,0.05604887008666992
S2B D1 hierarchical Morgan Huber,val_chem_only,Pentamidine isethionate,-0.12267732620239258
S2B D1 hierarchical Morgan Huber,val_chem_only,Raloxifene hydrochloride,-0.01507723331451416
S2B D1 hierarchical Morgan Huber,val_chem_only,Sulfometuron methyl,0.023906946182250977
S2B D1 hierarchical Morgan Huber,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",-0.0036603212356567383
S2B D1 hierarchical Morgan Huber,val_strain_only,1-10 Phenanthroline monohydrate,-0.01005488634109497
S2B D1 hierarchical Morgan Huber,val_strain_only,4-Hydroxytamoxifen,-0.09654766321182251
S2B D1 hierarchical Morgan Huber,val_strain_only,Amiodarone hydrochloride,-0.054453134536743164
S2B D1 hierarchical Morgan Huber,val_strain_only,Anisomycin,-0.005679190158843994
S2B D1 hierarchical Morgan Huber,val_strain_only,Artemisinin,-0.006463885307312012
S2B D1 hierarchical Morgan Huber,val_strain_only,Brefeldin A,-0.010524153709411621
S2B D1 hierarchical Morgan Huber,val_strain_only,CHX,0.06070762872695923
S2B D1 hierarchical Morgan Huber,val_strain_only,Cisplatin,-0.007532000541687012
S2B D1 hierarchical Morgan Huber,val_strain_only,Clomiphene citrate,-0.010255634784698486
S2B D1 hierarchical Morgan Huber,val_strain_only,Clotrimazole,-0.012103557586669922
S2B D1 hierarchical Morgan Huber,val_strain_only,Cyclopiazonic acid,-0.003156125545501709
