model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,absolute_mae,raw_fc_pcc,raw_fc_rmse,raw_fc_direction_accuracy
S2B D0 hierarchical none Huber,val_chem_only,Amphotericin B,282,886820,0.5664427876472473,0.40328627824783325,0.325285297610601,0.5664427876472473,0.6110146365666088
S2B D0 hierarchical none Huber,val_chem_only,FCCP,284,891729,0.547525942325592,0.3892268240451813,0.31760665642888536,0.547525942325592,0.6034849152601295
S2B D0 hierarchical none Huber,val_chem_only,Hydroxyurea,284,1015533,0.5711154341697693,0.40284112095832825,0.30859960970836736,0.5711154341697693,0.605937965580636
S2B D0 hierarchical none Huber,val_chem_only,Pentamidine isethionate,95,346403,0.4730834364891052,0.3296620547771454,0.42440338781951786,0.4730834364891052,0.6306729445183789
S2B D0 hierarchical none Huber,val_chem_only,Raloxifene hydrochloride,24,81754,0.6010904312133789,0.42817869782447815,0.321490135026071,0.6010904312133789,0.5956161166426107
S2B D0 hierarchical none Huber,val_chem_only,Sulfometuron methyl,96,354904,0.4838462173938751,0.3334915339946747,0.3818922047221049,0.4838462173938751,0.6237348691477131
S2B D1 hierarchical Morgan Huber,val_chem_only,Amphotericin B,282,886820,0.7405559420585632,0.5354070067405701,0.278802553800815,0.7405559420585632,0.5908132428226698
S2B D1 hierarchical Morgan Huber,val_chem_only,FCCP,284,891729,0.6148200631141663,0.4426319897174835,0.29455986580820265,0.6148200631141663,0.5940100635955543
S2B D1 hierarchical Morgan Huber,val_chem_only,Hydroxyurea,284,1015533,0.5150665640830994,0.3582823872566223,0.33787224208242417,0.5150665640830994,0.6156993421188677
S2B D1 hierarchical Morgan Huber,val_chem_only,Pentamidine isethionate,95,346403,0.5957607626914978,0.4200799763202667,0.33839470143252903,0.5957607626914978,0.5971368608239536
S2B D1 hierarchical Morgan Huber,val_chem_only,Raloxifene hydrochloride,24,81754,0.6161676645278931,0.4393770098686218,0.3495976212918529,0.6161676645278931,0.6149423881400299
S2B D1 hierarchical Morgan Huber,val_chem_only,Sulfometuron methyl,96,354904,0.45993927121162415,0.3174941837787628,0.39471376419136617,0.45993927121162415,0.6350646935509321
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Amphotericin B,282,886820,0.7003768682479858,0.5094108581542969,0.2906377178787081,0.7003768682479858,0.594436300489389
S2B D2 hierarchical Morgan experimental FC,val_chem_only,FCCP,284,891729,0.5571846961975098,0.39780393242836,0.3154848307369178,0.5571846961975098,0.6025597462906331
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Hydroxyurea,284,1015533,0.5209165811538696,0.361837774515152,0.34975335162790905,0.5209165811538696,0.6219719103170454
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Pentamidine isethionate,95,346403,0.5557621121406555,0.39047902822494507,0.3631904250824375,0.5557621121406555,0.6064006374078746
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Raloxifene hydrochloride,24,81754,0.6068248748779297,0.43256905674934387,0.35292917794842055,0.6068248748779297,0.615003547227047
S2B D2 hierarchical Morgan experimental FC,val_chem_only,Sulfometuron methyl,96,354904,0.4638267457485199,0.31855177879333496,0.3949508064340876,0.4638267457485199,0.634923810382526
S2B D0 hierarchical none Huber,val_strain_only,"(1R, 2S, 5R) - (-) - Menthol",24,87632,0.7025564908981323,0.4854263961315155,0.24677962804653134,0.7025564908981323,0.5813287383604163
S2B D0 hierarchical none Huber,val_strain_only,1-10 Phenanthroline monohydrate,48,174947,0.6997125148773193,0.4833972156047821,0.25691646172120725,0.6997125148773193,0.5885896871623978
S2B D0 hierarchical none Huber,val_strain_only,4-Hydroxytamoxifen,24,87104,0.7231800556182861,0.5007149577140808,0.28107950607060184,0.7231800556182861,0.587665319617928
