model,scenario,subset,n_samples,n_valid_positions,log2_rmse,mae,global_r2,sample_pcc_median,sample_r2_median,protein_pcc_median,protein_r2_median,sample_id_sha256
V2 batch-enabled Huber,val_chem_only,common_intersection,981,3577143,0.6195839643478394,0.449642151594162,0.9482799560431878,0.9804270603780536,0.9561289245922772,0.816899660560901,0.5493663262149701,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
Matched Control,val_chem_only,common_intersection,981,3577143,0.3816509246826172,0.2542759776115417,0.9803758325231332,0.9923547151153468,0.9834327625409116,0.9163208172433852,0.8278896989302484,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4824234,0.736795961856842,0.5125687122344971,0.9253146060619976,0.9653311771917212,0.9278370832081538,0.7714490285638663,0.3476274592533442,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
Matched Control,val_strain_only,common_intersection,1313,4824234,0.4101383090019226,0.2734795808792114,0.976857946006016,0.9911467083600912,0.981110628573204,0.857274347319439,0.703702214666796,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
V2 batch-enabled Huber,val_both,common_intersection,266,960434,0.8314878940582275,0.5945226550102234,0.9067795907074592,0.9620895217928236,0.9098457120833228,0.8114977375733294,0.3373128489731192,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
Matched Control,val_both,common_intersection,266,960434,0.3852837979793548,0.2569970786571502,0.9799847663018254,0.9918442920006943,0.9825397685286026,0.9060808108620136,0.8017501149727173,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
V2 batch-enabled Huber,val_time,common_intersection,134,486393,0.5562522411346436,0.3819143176078796,0.9580394230929836,0.981990362360583,0.962043973448412,0.7580604600939844,0.548268481406536,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
Matched Control,val_time,common_intersection,134,486393,0.4335888624191284,0.2842686474323272,0.9745050477824022,0.991653006372907,0.9815590424680418,0.8548933578044341,0.70657739789998,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
S1 B anchor Morgan Huber,val_chem_only,common_intersection,981,3577143,0.5964546799659729,0.416370689868927,0.952069333847242,0.980085276516251,0.9535449028163284,0.7991446327498709,0.6114296488223718,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S1 C anchor Morgan Huber plus experimental FC,val_chem_only,common_intersection,981,3577143,0.614058256149292,0.4321179687976837,0.949198369383152,0.9777764058905878,0.9509959922123572,0.8090181669522702,0.5903315414737559,c6a9cf63f4b5ba2edae496463ac14cab4d3e50d547f6e383ee6a9844131b9914
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4824234,0.727517306804657,0.5071856379508972,0.927183811702146,0.9666678101074092,0.931041746567476,0.7681702234342422,0.363713741523173,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
S1 C anchor Morgan Huber plus experimental FC,val_strain_only,common_intersection,1313,4824234,0.7180272936820984,0.4983153343200683,0.929071112868913,0.9674192174907712,0.9320821256370644,0.7729535683753612,0.3758455997050141,2f0c6ab08f5598c6f9d129b0f840d05236516315453a522f568ffeb35555395a
S1 B anchor Morgan Huber,val_both,common_intersection,266,960434,0.798532247543335,0.5607910752296448,0.914022627084031,0.9603996864030764,0.913175057459328,0.7865290675930703,0.3895422645223355,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
S1 C anchor Morgan Huber plus experimental FC,val_both,common_intersection,266,960434,0.8054149746894836,0.5660902261734009,0.9125341351868682,0.960806973795174,0.9115982231827212,0.8052479344859215,0.3985695150934876,1072f25208f83888fe22899d36c4cb09c4a5b709c6d4ee9f1a11457917087689
S1 B anchor Morgan Huber,val_time,common_intersection,134,486393,0.5546213984489441,0.3853083848953247,0.958285104831726,0.9823924061470246,0.9616240648678056,0.7561311241093462,0.5444532237123152,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
S1 C anchor Morgan Huber plus experimental FC,val_time,common_intersection,134,486393,0.540155827999115,0.3739589750766754,0.9604327312499602,0.9839330733783708,0.964834457811131,0.7652210048144883,0.5647815354064488,4cc87d58be7a8f5c6ca51803b8bc55e9b0e1cf11acb46ad87c8e4610ac31913c
