treatment_sample_ID,pert_id,expected_control,status,unmatched_reason,matched_control_count,matched_control_sample_IDs,match_data_source,match_Strains,match_Medium,match_Temperature,match_pert_time,match_pert_time_unit,match_instrument,match_Yeast_cell_plate
B15,#2,DMSO,matched,,1,B40,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B16,#10,DMSO,matched,,1,B40,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B17,#2,DMSO,matched,,1,B42,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B18,#10,DMSO,matched,,1,B42,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B21,#2,DMSO,matched,,1,B46,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B22,#10,DMSO,matched,,1,B46,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B23,#2,DMSO,matched,,1,B48,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B24,#10,DMSO,matched,,1,B48,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B51,#5,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B52,#13,Water,unmatched_huber_only,no_exact_requested_solvent_control,0,,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B53,#5,Water,matched,,1,B5,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B54,#13,Water,matched,,1,B5,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B57,#5,Water,matched,,1,B9,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B58,#13,Water,matched,,1,B9,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B59,#5,Water,matched,,1,B11,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B60,#13,Water,matched,,1,B11,WAYB,DHY210,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B63,#6,DMSO,matched,,1,B40,WAYB,CGD,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B65,#6,DMSO,matched,,1,B42,WAYB,BAH,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
B69,#6,DMSO,matched,,1,B46,WAYB,CEK,YNB+CSM+2% galactose,30,15,min,O,WAY_BP1
