model,scenario,subset,n_samples,n_valid_positions,pcc,rmse,direction_accuracy,coverage,reference_fit_scope
Matched Control,val_strain_only,common_intersection,1313,4824118,0.13722252204552,0.4101248383522033,0.536958258483727,0.9999759547318808,split_final=train only
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4824118,0.2838547257556766,0.7367890477180481,0.597862241346501,0.9999759547318808,split_final=train only
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4824118,0.2864364578563692,0.7275146245956421,0.5973921035928226,0.9999759547318808,split_final=train only
D0 seed1,val_strain_only,common_intersection,1313,4824118,0.26536927040738767,0.7653154134750366,0.5892500971161982,0.9999759547318807,split_final=train only
D0 seed2,val_strain_only,common_intersection,1313,4824118,0.27274615434466426,0.7497296929359436,0.5929245511822058,0.9999759547318807,split_final=train only
D2 seed1,val_strain_only,common_intersection,1313,4824118,0.25535667002521195,0.7529435753822327,0.5890181376160367,0.9999759547318807,split_final=train only
D2 seed2,val_strain_only,common_intersection,1313,4824118,0.26709301026208304,0.735576868057251,0.5913856170184891,0.9999759547318807,split_final=train only
S1 C seed1,val_strain_only,common_intersection,1313,4824118,0.2913852951390191,0.7180259823799133,0.6005290500771333,0.9999759547318807,split_final=train only
S1 C seed2,val_strain_only,common_intersection,1313,4824118,0.2680917390230899,0.7488058805465698,0.5966155885904947,0.9999759547318807,split_final=train only
S2C seed1,val_strain_only,common_intersection,1313,4824118,0.2913852951390191,0.7180259823799133,0.6005290500771333,0.9999759547318807,split_final=train only
S2C seed2,val_strain_only,common_intersection,1313,4824118,0.2680917390230899,0.7488058805465698,0.5966155885904947,0.9999759547318807,split_final=train only
S2C two-seed mean,val_strain_only,common_intersection,1313,4824118,0.2857359110217831,0.71807861328125,0.6012421337952347,0.9999759547318807,split_final=train only
