model,scenario,subset,n_samples,n_proteins,n_valid_positions,global_fc_pcc,sample_fc_pcc_median,protein_fc_pcc_median,fc_rmse,fc_direction_accuracy
Matched Control,val_chem_only,common_intersection,981,4422,3577143,,,,0.3816509246826172,8.666133839211908e-06
V2 batch-enabled Huber,val_chem_only,common_intersection,981,4422,3577143,0.3072407270437958,0.3000119850513648,0.3460358097818942,0.6195839643478394,0.5976439857170932
Matched Control,val_strain_only,common_intersection,1313,4413,4824234,,,,0.4101383090019226,8.498758559389946e-06
V2 batch-enabled Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2442985072418199,0.2343910208072096,0.4033557672488032,0.736795961856842,0.5873145871448192
Matched Control,val_both,common_intersection,266,4408,960434,,,,0.3852837979793548,9.37076363394049e-06
V2 batch-enabled Huber,val_both,common_intersection,266,4408,960434,0.2256981492133032,0.2085524234803713,0.3725795506463355,0.8314878940582275,0.5719945358036055
Matched Control,val_time,common_intersection,134,4422,486393,,,,0.4335888624191284,8.22380256294807e-06
V2 batch-enabled Huber,val_time,common_intersection,134,4422,486393,0.3138991961987597,0.3182437240024489,0.3362765433609398,0.5562522411346436,0.6095914209291663
S1 B anchor Morgan Huber,val_chem_only,common_intersection,981,4422,3577143,0.3042385191747621,0.3061849293501736,0.3333035904334964,0.5964546799659729,0.603772060552234
S1 B anchor Morgan Huber,val_strain_only,common_intersection,1313,4413,4824234,0.2492046745912214,0.2404010659799301,0.3940883443520863,0.727517306804657,0.5883197208095627
S1 B anchor Morgan Huber,val_both,common_intersection,266,4408,960434,0.2223827000870219,0.2132970064850616,0.351181516855899,0.798532247543335,0.5738364114556544
S1 B anchor Morgan Huber,val_time,common_intersection,134,4422,486393,0.3213951339713685,0.324504300736491,0.3323252082371145,0.5546213984489441,0.6099861634521878
D0 seed1,val_chem_only,common_intersection,981,4422,3577143,0.32738336847635957,0.32808782409666976,0.35293237692157753,0.5477526187896729,0.6105101193885735
D0 seed2,val_chem_only,common_intersection,981,4422,3577143,0.31583181639772895,0.31650948917123883,0.33897459776051486,0.5678060054779053,0.6043473800180759
D2 seed1,val_chem_only,common_intersection,981,4422,3577143,0.32354836080570115,0.32778937327393964,0.3460799557927455,0.5794022083282471,0.609924176919961
D2 seed2,val_chem_only,common_intersection,981,4422,3577143,0.3195866894110714,0.32700710637975294,0.3431847402341277,0.5882081389427185,0.6075141530545466
S1 C seed1,val_chem_only,common_intersection,981,4422,3577143,0.31063161903515923,0.30948405901944825,0.3494345006478602,0.614058256149292,0.6075731386751941
S1 C seed2,val_chem_only,common_intersection,981,4422,3577143,0.2991882479901483,0.31537788166093933,0.346202232677143,0.6302459239959717,0.6047918688182161
S2C seed1,val_chem_only,common_intersection,981,4422,3577143,0.32738336847635957,0.32808782409666976,0.35293237692157753,0.5477526187896729,0.6105101193885735
S2C seed2,val_chem_only,common_intersection,981,4422,3577143,0.31583181639772895,0.31650948917123883,0.33897459776051486,0.5678060054779053,0.6043473800180759
S2C two-seed mean,val_chem_only,common_intersection,981,4422,3577143,0.3267795213083477,0.32699916891714703,0.3530257050133037,0.5491685271263123,0.6097902711745099
D0 seed1,val_strain_only,common_intersection,1313,4413,4824234,0.22401184712828884,0.22315101861890202,0.37953079192171324,0.765321671962738,0.5788002820758694
D0 seed2,val_strain_only,common_intersection,1313,4413,4824234,0.23323053144979158,0.2303276084437413,0.3853707133547939,0.7497365474700928,0.5824336050034057
D2 seed1,val_strain_only,common_intersection,1313,4413,4824234,0.24950275254927404,0.2393497726373274,0.420339680401152,0.7529476881027222,0.588793163847359
D2 seed2,val_strain_only,common_intersection,1313,4413,4824234,0.26245294271470176,0.2475704301347271,0.4162808879367859,0.7355791330337524,0.5903772495281117
S1 C seed1,val_strain_only,common_intersection,1313,4413,4824234,0.26147486258809427,0.2544501221055235,0.4064065132501871,0.7180272936820984,0.5943156986166094
S1 C seed2,val_strain_only,common_intersection,1313,4413,4824234,0.25949658892779326,0.2416010673197956,0.4369747732918516,0.7488045692443848,0.594251854284017
S2C seed1,val_strain_only,common_intersection,1313,4413,4824234,0.26147486258809427,0.2544501221055235,0.4064065132501871,0.7180272936820984,0.5943156986166094
S2C seed2,val_strain_only,common_intersection,1313,4413,4824234,0.25949658892779326,0.2416010673197956,0.4369747732918516,0.7488045692443848,0.594251854284017
S2C two-seed mean,val_strain_only,common_intersection,1313,4413,4824234,0.2664050489331669,0.2537072262009968,0.43828369367903397,0.7180777788162231,0.5967809604592149
D0 seed1,val_both,common_intersection,266,4408,960434,0.20903577749820482,0.19944053661573713,0.3682786804221435,0.8082606196403503,0.5708242315453222
D0 seed2,val_both,common_intersection,266,4408,960434,0.22026663227736773,0.20709804308315038,0.3700407223280142,0.7832434773445129,0.5745402599241592
D2 seed1,val_both,common_intersection,266,4408,960434,0.21890899129063207,0.2088957394360243,0.3614907612218534,0.8114367127418518,0.5731346453790682
D2 seed2,val_both,common_intersection,266,4408,960434,0.22961471630680144,0.21841436950297605,0.3663618797338903,0.7929895520210266,0.5770641189295672
S1 C seed1,val_both,common_intersection,266,4408,960434,0.23064762775323963,0.2181457794198841,0.37119944095331736,0.8054149746894836,0.5783520783312545
S1 C seed2,val_both,common_intersection,266,4408,960434,0.20633008125595484,0.19071381515531935,0.351837370372124,0.8637279272079468,0.5720174421147106
S2C seed1,val_both,common_intersection,266,4408,960434,0.20903577749820482,0.19944053661573713,0.3682786804221435,0.8082606196403503,0.5708242315453222
S2C seed2,val_both,common_intersection,266,4408,960434,0.22026663227736773,0.20709804308315038,0.3700407223280142,0.7832434773445129,0.5745402599241592
S2C two-seed mean,val_both,common_intersection,266,4408,960434,0.2164897579182239,0.20544938767215226,0.3780943667574697,0.7894487380981445,0.5735542473506768
D0 seed1,val_time,common_intersection,134,4422,486393,0.3148662293653545,0.33273522236149955,0.3258175426973582,0.5496427416801453,0.6055144708085848
D0 seed2,val_time,common_intersection,134,4422,486393,0.309920736417463,0.31430676371962185,0.32495793086252706,0.562667191028595,0.6044412645741201
