model,scenario,chemical_name,n_samples,n_valid_positions,absolute_rmse,raw_fc_pcc,raw_fc_direction_accuracy,matched_control_rmse,rmse_gain_vs_matched_control
D0 seed1,val_chem_only,Amphotericin B,282,886820,0.5664427876472473,0.325285297610601,0.6110146365666088,0.405770868062973,-0.1606719195842743
D0 seed1,val_chem_only,FCCP,284,891729,0.547525942325592,0.31760665642888536,0.6034849152601295,0.3331632912158966,-0.21436265110969543
D0 seed1,val_chem_only,Hydroxyurea,284,1015533,0.5711154341697693,0.30859960970836736,0.605937965580636,0.3893176019191742,-0.1817978322505951
D0 seed1,val_chem_only,Pentamidine isethionate,95,346403,0.4730834364891052,0.42440338781951786,0.6306729445183789,0.4029056429862976,-0.07017779350280762
D0 seed1,val_chem_only,Raloxifene hydrochloride,24,81754,0.6010904312133789,0.321490135026071,0.5956161166426107,0.5198606848716736,-0.08122974634170532
D0 seed1,val_chem_only,Sulfometuron methyl,96,354904,0.4838462173938751,0.3818922047221049,0.6237348691477131,0.35127514600753784,-0.13257107138633728
D0 seed2,val_chem_only,Amphotericin B,282,886820,0.5855491757392883,0.3137121303817604,0.603267855934688,0.405770868062973,-0.1797783076763153
D0 seed2,val_chem_only,FCCP,284,891729,0.5694893002510071,0.2991119561052616,0.5935211258128871,0.3331632912158966,-0.23632600903511047
D0 seed2,val_chem_only,Hydroxyurea,284,1015533,0.5891472697257996,0.2974667777498587,0.5998367359800223,0.3893176019191742,-0.19982966780662537
D0 seed2,val_chem_only,Pentamidine isethionate,95,346403,0.49680253863334656,0.4002651602471429,0.6313138165662537,0.4029056429862976,-0.09389689564704895
D0 seed2,val_chem_only,Raloxifene hydrochloride,24,81754,0.6373428106307983,0.2967946621306683,0.5939403576583409,0.5198606848716736,-0.11748212575912476
D0 seed2,val_chem_only,Sulfometuron methyl,96,354904,0.500282883644104,0.36393610569551293,0.6232305074048193,0.35127514600753784,-0.14900773763656616
D2 seed1,val_chem_only,Amphotericin B,282,886820,0.7003768682479858,0.2906377178787081,0.594436300489389,0.405770868062973,-0.2946060001850128
D2 seed1,val_chem_only,FCCP,284,891729,0.5571846961975098,0.3154848307369178,0.6025597462906331,0.3331632912158966,-0.22402140498161316
D2 seed1,val_chem_only,Hydroxyurea,284,1015533,0.5209165811538696,0.34975335162790905,0.6219719103170454,0.3893176019191742,-0.13159897923469543
D2 seed1,val_chem_only,Pentamidine isethionate,95,346403,0.5557621121406555,0.3631904250824375,0.6064006374078746,0.4029056429862976,-0.1528564691543579
D2 seed1,val_chem_only,Raloxifene hydrochloride,24,81754,0.6068248748779297,0.35292917794842055,0.615003547227047,0.5198606848716736,-0.0869641900062561
D2 seed1,val_chem_only,Sulfometuron methyl,96,354904,0.4638267457485199,0.3949508064340876,0.634923810382526,0.35127514600753784,-0.11255159974098206
D2 seed2,val_chem_only,Amphotericin B,282,886820,0.7077863216400146,0.2876502655760494,0.5953485487472091,0.405770868062973,-0.3020154535770416
D2 seed2,val_chem_only,FCCP,284,891729,0.5961798429489136,0.2899298296653303,0.5910708298148877,0.3331632912158966,-0.26301655173301697
D2 seed2,val_chem_only,Hydroxyurea,284,1015533,0.5353654623031616,0.34001761945247594,0.6136422942435155,0.3893176019191742,-0.14604786038398743
D2 seed2,val_chem_only,Pentamidine isethionate,95,346403,0.4837956428527832,0.4139804564645372,0.6336030577102393,0.4029056429862976,-0.0808899998664856
D2 seed2,val_chem_only,Raloxifene hydrochloride,24,81754,0.6043224930763245,0.3372624112646493,0.6063189568706119,0.5198606848716736,-0.08446180820465088
D2 seed2,val_chem_only,Sulfometuron methyl,96,354904,0.45797333121299744,0.40146680599007706,0.6365045195320425,0.35127514600753784,-0.1066981852054596
S1 C seed1,val_chem_only,Amphotericin B,282,886820,0.712543249130249,0.28771633289887566,0.5982555648271352,0.405770868062973,-0.306772381067276
S1 C seed1,val_chem_only,FCCP,284,891729,0.6430798768997192,0.281247994750722,0.5931835793161375,0.3331632912158966,-0.30991658568382263
S1 C seed1,val_chem_only,Hydroxyurea,284,1015533,0.5664078593254089,0.32031117199415143,0.6090949284759826,0.3893176019191742,-0.17709025740623474
