run,stage,seed,elapsed_seconds,actual_epochs,best_epoch,peak_gpu_memory_reserved_bytes
hierarchical_seed20260814,A,20260814,,,,
hierarchical_seed20260815,A,20260815,26.0768693999853,30.0,29.0,62914560.0
flat_seed20260814,A,20260814,,,,
flat_seed20260815,A,20260815,27.285270600026706,11.0,4.0,90177536.0
D0 seed1,B,20260814,103.67360270000063,33.0,20.0,94371840.0
D2 seed1,B,20260814,99.0270462000044,25.0,12.0,94371840.0
S1 C seed1,B,20260814,87.49270979998983,20.0,7.0,88080384.0
D0 seed2,B,20260815,72.26859959997819,23.0,10.0,94371840.0
D2 seed2,B,20260815,100.04043649998493,29.0,16.0,94371840.0
S1 C seed2,B,20260815,177.58220679999795,60.0,47.0,90177536.0
