chemical_id,raw_name,mapping_status,mapping_confidence,structure_valid,parent_inchikey
"(1R, 2S, 5R) - (-) - Menthol","(1R, 2S, 5R) - (-) - Menthol",confirmed,high,True,NOOLISFMXDJSKH-KXUCPTDWSA-N
(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,confirmed,high,True,VSJKWCGYPAHWDS-FQEVSTJZSA-N
1-10 Phenanthroline monohydrate,1-10 Phenanthroline monohydrate,confirmed,high,True,DGEZNRSVGBDHLK-UHFFFAOYSA-N
4-Hydroxytamoxifen,4-Hydroxytamoxifen,confirmed,high,True,TXUZVZSFRXZGTL-QPLCGJKRSA-N
Abietic acid,Abietic acid,confirmed,high,True,RSWGJHLUYNHPMX-ONCXSQPRSA-N
Amiodarone hydrochloride,Amiodarone hydrochloride,confirmed,medium,True,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
Amphotericin B,Amphotericin B,confirmed,high,True,APKFDSVGJQXUKY-INPOYWNPSA-N
Anisomycin,Anisomycin,confirmed,high,True,YKJYKKNCCRKFSL-RDBSUJKOSA-N
Artemisinin,Artemisinin,confirmed,high,True,BLUAFEHZUWYNDE-NNWCWBAJSA-N
Brefeldin A,Brefeldin A,confirmed,high,True,KQNZDYYTLMIZCT-KQPMLPITSA-N
CHX,CHX,confirmed,high,True,YPHMISFOHDHNIV-FSZOTQKASA-N
Cisplatin,Cisplatin,confirmed,high,False,
Clomiphene citrate,Clomiphene citrate,confirmed,medium,True,GKIRPKYJQBWNGO-UHFFFAOYSA-N
Clotrimazole,Clotrimazole,confirmed,high,True,VNFPBHJOKIVQEB-UHFFFAOYSA-N
Cyclopiazonic acid,Cyclopiazonic acid,confirmed,high,True,SZINUGQCTHLQAZ-DQYPLSBCSA-N
DMSO,DMSO,special_control,none,False,
Desipramine hydrochloride,Desipramine hydrochloride,confirmed,medium,True,HCYAFALTSJYZDH-UHFFFAOYSA-N
Doxycycline hyclate,Doxycycline hyclate,confirmed,medium,True,SGKRLCUYIXIAHR-AKNGSSGZSA-N
Dyclonine hydrochloride,Dyclonine hydrochloride,confirmed,medium,True,BZEWSEKUUPWQDQ-UHFFFAOYSA-N
EDTA,EDTA,confirmed,high,True,KCXVZYZYPLLWCC-UHFFFAOYSA-N
Emodin,Emodin,confirmed,high,True,RHMXXJGYXNZAPX-UHFFFAOYSA-N
FCCP,FCCP,confirmed,high,True,BMZRVOVNUMQTIN-UHFFFAOYSA-N
Fluconazole,Fluconazole,confirmed,high,True,RFHAOTPXVQNOHP-UHFFFAOYSA-N
G418,G418,confirmed,high,True,BRZYSWJRSDMWLG-DJWUNRQOSA-N
Geldanamycin,Geldanamycin,confirmed,high,True,QTQAWLPCGQOSGP-KSRBKZBZSA-N
H2O2,H2O2,confirmed,high,True,MHAJPDPJQMAIIY-UHFFFAOYSA-N
Haloperidol,Haloperidol,confirmed,high,True,LNEPOXFFQSENCJ-UHFFFAOYSA-N
Harmine hydrochloride,Harmine hydrochloride,confirmed,medium,True,BXNJHAXVSOCGBA-UHFFFAOYSA-N
Hoechst 33258,Hoechst 33258,confirmed,medium,True,INAAIJLSXJJHOZ-UHFFFAOYSA-N
Hydroxyurea,Hydroxyurea,confirmed,high,True,VSNHCAURESNICA-UHFFFAOYSA-N
Hygromycin B,Hygromycin B,confirmed,high,True,GRRNUXAQVGOGFE-HUCHGKBZSA-N
LY 294002 hydrochloride,LY 294002 hydrochloride,confirmed,medium,True,CZQHHVNHHHRRDU-UHFFFAOYSA-N
MMS,MMS,confirmed,high,True,MBABOKRGFJTBAE-UHFFFAOYSA-N
NaCl,NaCl,confirmed,high,False,
