raw_name,selected_cid,mapping_status,mapping_confidence,review_status,decision_reason,parent_action,evidence_url,review_date,cas_number
"(1R, 2S, 5R) - (-) - Menthol",16666,confirmed,high,reviewed,"Alias (-)-menthol/L-menthol resolves uniquely and preserves the stated stereochemistry.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/16666,2026-08-13
(S)-(+)-Camptothecin,24360,confirmed,high,reviewed,"Exact stereochemical name resolves uniquely to PubChem camptothecin CID 24360.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/24360,2026-08-13
1-10 Phenanthroline monohydrate,21226,confirmed,high,reviewed,"Selected the hydrate CID rather than anhydrous CID 1318; parent extraction is explicit and retains the raw hydrate structure.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/21226,2026-08-13
4-Hydroxytamoxifen,449459,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/449459,2026-08-13
Abietic acid,10569,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/10569,2026-08-13
Amiodarone hydrochloride,441325,confirmed,medium,reviewed,"Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/441325,2026-08-13
Amphotericin B,5280965,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/5280965,2026-08-13
Anisomycin,253602,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/253602,2026-08-13
Artemisinin,68827,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/68827,2026-08-13
Brefeldin A,5287620,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/5287620,2026-08-13
CHX,6197,confirmed,high,reviewed,"Competition abbreviation was expanded to cycloheximide; both alias and returned title support CID 6197.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/6197,2026-08-13
Cisplatin,5460033,confirmed,high,reviewed,"Identity confirmed against the official PubChem Cisplatin record CID 5460033. The intact platinum coordination structure is retained, but the current ordinary-organic Morgan/RDKit feature system is not applicable; explicit zero-feature fallback is used without fragment removal.",identity_only,https://pubchem.ncbi.nlm.nih.gov/compound/cisplatin,2026-08-13,
Clomiphene citrate,60974,confirmed,medium,reviewed,"Exact citrate salt entry selected; citrate removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/60974,2026-08-13
Clotrimazole,2812,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/2812,2026-08-13
Cyclopiazonic acid,54682463,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/54682463,2026-08-13
Desipramine hydrochloride,65327,confirmed,medium,reviewed,"Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/65327,2026-08-13
Doxycycline hyclate,54705095,confirmed,medium,reviewed,"Selected the PubChem record titled Doxycycline hyclate among nine synonym-linked candidates; removal of counterion/solvate is explicit and raw structure is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/54705095,2026-08-13
Dyclonine hydrochloride,68304,confirmed,medium,reviewed,"Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/68304,2026-08-13
EDTA,6049,confirmed,high,reviewed,"Standard abbreviation resolves uniquely to ethylenediaminetetraacetic acid.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/6049,2026-08-13
Emodin,3220,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/3220,2026-08-13
FCCP,3330,confirmed,high,reviewed,"Abbreviation and expanded alias both resolve to CID 3330.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/3330,2026-08-13
Fluconazole,3365,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/3365,2026-08-13
G418,123865,confirmed,high,reviewed,"G418 and geneticin aliases both resolve to CID 123865.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/123865,2026-08-13
Geldanamycin,5288382,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/5288382,2026-08-13
H2O2,784,confirmed,high,reviewed,"Formula abbreviation and hydrogen peroxide alias both resolve to CID 784.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/784,2026-08-13
Haloperidol,3559,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/3559,2026-08-13
Harmine hydrochloride,5359389,confirmed,medium,reviewed,"Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/5359389,2026-08-13
Hoechst 33258,135705211,confirmed,medium,reviewed,"Selected the candidate whose PubChem title is exactly Hoechst 33258; salt/hydrate removal is explicit and raw structure is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/135705211,2026-08-13
Hydroxyurea,3657,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/3657,2026-08-13
Hygromycin B,56928061,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/56928061,2026-08-13
LY 294002 hydrochloride,11957589,confirmed,medium,reviewed,"Spaced and compact aliases agree on the hydrochloride entry; chloride removal is explicit and raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/11957589,2026-08-13
MMS,4156,confirmed,high,reviewed,"Abbreviation and methyl methanesulfonate alias both resolve to CID 4156.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/4156,2026-08-13
NaCl,5234,confirmed,high,reviewed,"Identity confirmed as sodium chloride CID 5234. The intact [Na+].[Cl-] ionic structure is retained; the current ordinary-organic Morgan/RDKit feature system is not applicable, so explicit zero-feature fallback is used without selecting one ion or removing salt.",identity_only,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium-Chloride,2026-08-13,
Neomycin B,8378,confirmed,high,reviewed,"Exact synonym resolves uniquely to PubChem Neomycin CID 8378.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/8378,2026-08-13
Nigericin,34230,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/34230,2026-08-13
Nocodazole,4122,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/4122,2026-08-13
Nystatin dihydrate,154809619,confirmed,medium,reviewed,"Exact dihydrate entry selected; water removal for model parent is explicitly approved while raw hydrate is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/154809619,2026-08-13
Oligomycin,52947716,proxy,medium,reviewed,"The metadata gives a family name without component identity; Oligomycin A is an explicit proxy and is not claimed as exact.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/52947716,2026-08-13
Parthenolide,6473881,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/6473881,2026-08-13
Pentamidine isethionate,8813,confirmed,medium,reviewed,"Exact isethionate salt entry selected; counterion removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/8813,2026-08-13
Plumbagin,10205,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/10205,2026-08-13
Raloxifene hydrochloride,54900,confirmed,medium,reviewed,"Exact hydrochloride entry selected; chloride removal for model parent is explicitly approved while raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/54900,2026-08-13
Rapamycin,5284616,confirmed,high,reviewed,"Rapamycin synonym resolves uniquely to PubChem Sirolimus CID 5284616.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/5284616,2026-08-13
SDS,3423265,confirmed,medium,reviewed,"Expanded sodium dodecyl sulfate alias resolves uniquely; sodium removal for model parent is explicit and raw salt is retained.",fragment_parent,https://pubchem.ncbi.nlm.nih.gov/compound/3423265,2026-08-13
Sorbitol,5780,confirmed,high,reviewed,"Exact name resolves uniquely and PubChem title agrees.",cleanup,https://pubchem.ncbi.nlm.nih.gov/compound/5780,2026-08-13
